"№","Region (RU)","Region (BA)","Region (ENG)","Region (Com. Turk. BA)","District (RU)","District (BA)","District (ENG)","District (Com. Turk. BA)","Name (RU)","Name (BA)","Name (ENG)","Name (Com. Turk. BA)","Clan (RU)","Clan (BA)","Clan (ENG)","Clan (Com. Turk. BA)","Dialect (RU)","Dialect (BA)","Dialect (ENG)","Dialect (Com. Turk. BA)","Sub-dialect & Variety (RU)","Sub-dialect & Variety (BA)","Sub-dialect & Variety (ENG)","Sub-dialect & Variety (Com. Turk. BA)","Map Link","latitude","longitude","Status"
"2013","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Кувандыкский район","Ҡыуандыҡ районы","Kuvandyksky district","Qıwandıq rayonı","Барангулово","Бурағол","Barangulovo","Burağol","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=13/51.65458/56.94407","51.65458","56.94407",""
"2014","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Кувандыкский район","Ҡыуандыҡ районы","Kuvandyksky district","Qıwandıq rayonı","Бурангулово","Буранғол","Burangulovo","Buranğol","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=13/51.53920/57.10268","51.5392","57.10268",""
"2015","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Кувандыкский район","Ҡыуандыҡ районы","Kuvandyksky district","Qıwandıq rayonı","Юлгутла","Юлғотло","Yulgutla","Yulğotlo","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.54619/56.81006","51.54619","56.81006",""
"2016","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Кувандыкский район","Ҡыуандыҡ районы","Kuvandyksky district","Qıwandıq rayonı","Сарбаево","Һарыбай","Sarbayevo","Harıbay","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.38733/57.46804","51.38733","57.46804",""
"2017","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Кувандыкский район","Ҡыуандыҡ районы","Kuvandyksky district","Qıwandıq rayonı","Башкирское Канчерово","Башҡорт Ҡансураһы","Bashkirskoye Kancherovo","Başqort Qansurahı","Кыпчак-Усерган","Ҡыпсаҡ-Үҫәргән","Kypchak-Usergan","Qıpsaq-Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.54373/56.99683","51.54373","56.99683",""
"2018","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Кувандыкский район","Ҡыуандыҡ районы","Kuvandyksky district","Qıwandıq rayonı","Русское Канчерово","Ҡыуат","Russkoye Kancherovo","Qıwat","Кыпчак-Усерган","Ҡыпсаҡ-Үҫәргән","Kypchak-Usergan","Qıpsaq-Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.52419/57.05159","51.52419","57.05159",""
"2019","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Кувандыкский район","Ҡыуандыҡ районы","Kuvandyksky district","Qıwandıq rayonı","Зиянчурино","Ейәнсура","Ziyanchurino","Yeyänsura","Кыпчак-Усерган","Ҡыпсаҡ-Үҫәргән","Kypchak-Usergan","Qıpsaq-Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=13/51.56226/56.91248","51.56226","56.91248",""
"2020","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Кувандыкский район","Ҡыуандыҡ районы","Kuvandyksky district","Qıwandıq rayonı","Ишмуратово","Ишморат","Ishmuratovo","İşmorat","Кыпчак","Ҡыпсаҡ","Kypchak","Qıpsaq","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=15/51.45056/57.41100","51.45056","57.411",""
"2021","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Медногорский городской округ","Медногорск ҡала округы","Mednogorsk urban okrug","Mednogorsk qala okrugı","Идельбаево","Иҙелбай","Idelbayevo","İźelbay","Кыпчак","Ҡыпсаҡ","Kypchak","Qıpsaq","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=13/51.41540/57.52154","51.4154","57.52154",""
"2022","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Медногорский городской округ","Медногорск ҡала округы","Mednogorsk urban okrug","Mednogorsk qala okrugı","Блявтамак","Беләүтамак","Blyavtamak","Beläwtamaq","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=13/51.49156/57.56365","51.49156","57.56365",""
"2023","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Медногорский городской округ","Медногорск ҡала округы","Mednogorsk urban okrug","Mednogorsk qala okrugı","Рысаево","Рысай","Rysayevo","Rısay","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=13/51.37738/57.52188","51.37738","57.52188",""
"2024","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Медногорский городской округ","Медногорск ҡала округы","Mednogorsk urban okrug","Mednogorsk qala okrugı","Кидрясово","Ҡыҙрас","Kidryasovo","Qıźras","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=13/51.29512/57.53767","51.29512","57.53767",""
"2025","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Медногорский городской округ","Медногорск ҡала округы","Mednogorsk urban okrug","Mednogorsk qala okrugı","Бляева","Алсынбай","Blyava","Alsınbay","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.40099/57.73669","51.40099","57.73669",""
"2026","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Саракташский район","Һарыҡташ районы","Saraktashsky district","Harıqtaş rayonı","Султанбаево","Солтанбай","Sultanbayevo","Soltanbay","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=15/51.67844/56.71912","51.67844","56.71912",""
